from,to,I@x=0,I@x=1,I@x=2,xwI=0
Natural areas,Arable land,25.0,1.25,0.125,3
Natural areas,Permanent crops,6.25,0,0,5
Natural areas,Pastures,0,0,0,5
Natural areas,Agricultural areas,12.5,0,0,5
Natural areas,Residential,12.5,0,0,5
Natural areas,Industry & commerce,12.5,0,0,5
Natural areas,Recreation areas,12.5,1.25,0.125,3
Natural areas,Forest,25.0,1.25,0.125,5
Arable land,Arable land,250.0,7.5,0.75,5
Arable land,Permanent crops,25.0,0,0,5
Arable land,Pastures,0,0,0,5
Arable land,Agricultural areas,25.0,1.25,0.125,5
Arable land,Residential,25.0,1.25,0.125,5
Arable land,Industry & commerce,25.0,1.25,0.125,5
Arable land,Recreation areas,12.5,0,0,5
Arable land,Forest,6.25,0,0,5
Permanent crops,Arable land,6.25,0,0,5
Permanent crops,Permanent crops,250.0,15.0,1.5,5
Permanent crops,Pastures,0,0,0,5
Permanent crops,Agricultural areas,0,0,0,5
Permanent crops,Residential,0,0,0,5
Permanent crops,Industry & commerce,0,0,0,5
Permanent crops,Recreation areas,0,0,0,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,0,0,0,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,250.0,7.5,0.75,5
Pastures,Agricultural areas,0,0,0,5
Pastures,Residential,0,1.25,0.125,5
Pastures,Industry & commerce,0,0,0,5
Pastures,Recreation areas,0,0,0,5
Pastures,Forest,0,0,0,5
Agricultural areas,Arable land,6.25,0,0,5
Agricultural areas,Permanent crops,12.5,1.25,0.125,5
Agricultural areas,Pastures,0,0,0,5
Agricultural areas,Agricultural areas,250.0,7.5,0.75,5
Agricultural areas,Residential,6.25,0,0,5
Agricultural areas,Industry & commerce,6.25,0,0,5
Agricultural areas,Recreation areas,6.25,0,0,5
Agricultural areas,Forest,0,0,0,5
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
Residential,Agricultural areas,0,0,0,5
Residential,Residential,1000.0,7.5,1.5,5
Residential,Industry & commerce,6.25,1.25,0.125,5
Residential,Recreation areas,6.25,1.25,0.25,5
Residential,Forest,0,0,0,5
Industry & commerce,Arable land,0,1.25,0.125,4
Industry & commerce,Permanent crops,0,0,0,5
Industry & commerce,Pastures,0,0,0,5
Industry & commerce,Agricultural areas,0,0,0,5
Industry & commerce,Residential,0,1.25,0.125,5
Industry & commerce,Industry & commerce,1000.0,15.0,1.5,5
Industry & commerce,Recreation areas,0,1.25,0.125,5
Industry & commerce,Forest,0,0,0,5
Recreation areas,Arable land,0,0,0,5
Recreation areas,Permanent crops,0,0,0,5
Recreation areas,Pastures,0,0,0,5
Recreation areas,Agricultural areas,0,0,0,5
Recreation areas,Residential,0,1.25,0.125,5
Recreation areas,Industry & commerce,0,0,0,5
Recreation areas,Recreation areas,500.0,15.0,3.0,5
Recreation areas,Forest,0,0,0,5
Forest,Arable land,6.25,0,0,5
Forest,Permanent crops,0,0,0,5
Forest,Pastures,0,0,0,5
Forest,Agricultural areas,0,0,0,5
Forest,Residential,0,0,0,5
Forest,Industry & commerce,0,0,0,5
Forest,Recreation areas,6.25,0,0,5
Forest,Forest,1000.0,7.5,0.75,5
Road & rail,Arable land,0,0,0,5
Road & rail,Permanent crops,0,0,0,5
Road & rail,Pastures,0,0,0,5
Road & rail,Agricultural areas,0,0,0,5
Road & rail,Residential,0,0,0,5
Road & rail,Industry & commerce,0,1.25,0.125,5
Road & rail,Recreation areas,0,0,0,5
Road & rail,Forest,0,0,0,5
Seaports,Arable land,0,0,0,5
Seaports,Permanent crops,0,0,0,5
Seaports,Pastures,0,0,0,5
Seaports,Agricultural areas,0,0,0,5
Seaports,Residential,0,0,0,5
Seaports,Industry & commerce,0,0,0,5
Seaports,Recreation areas,0,0,0,5
Seaports,Forest,0,0,0,5
Airports,Arable land,0,0,0,5
Airports,Permanent crops,0,0,0,5
Airports,Pastures,0,0,0,5
Airports,Agricultural areas,0,0,0,5
Airports,Residential,0,0,0,5
Airports,Industry & commerce,0,1.25,0.125,5
Airports,Recreation areas,0,0,0,5
Airports,Forest,0,0,0,5
Mine & dump sites,Arable land,0,0,0,5
Mine & dump sites,Permanent crops,0,1.25,0.25,5
Mine & dump sites,Pastures,0,0,0,5
Mine & dump sites,Agricultural areas,0,0,0,5
Mine & dump sites,Residential,0,1.25,0.125,5
Mine & dump sites,Industry & commerce,0,2.5,0.25,5
Mine & dump sites,Recreation areas,6.25,5.0,0.5,5
Mine & dump sites,Forest,0,0,0,5
Fresh water,Arable land,0,0,0,5
Fresh water,Permanent crops,0,0,0,5
Fresh water,Pastures,0,0,0,5
Fresh water,Agricultural areas,0,0,0,5
Fresh water,Residential,0,0,0,5
Fresh water,Industry & commerce,0,0,0,5
Fresh water,Recreation areas,0,0,0,5
Fresh water,Forest,0,0,0,5
Marine water,Arable land,0,0,0,5
Marine water,Permanent crops,0,0,0,5
Marine water,Pastures,0,0,0,5
Marine water,Agricultural areas,0,0,0,5
Marine water,Residential,0,0,0,5
Marine water,Industry & commerce,0,0,0,5
Marine water,Recreation areas,0,0,0,5
Marine water,Forest,0,0,0,5
