Case study,Year,Var Par Value,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,2000,0,0,0.928625572,0.006391134,0.52444189,0.738024443,0.744273926,0.694041133,0.590845133,0.702024583,0.643447377,0.633270095,0.759438622,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0,1,0.928316888,0.009275072,0.528808292,0.737855898,0.748702083,0.692902752,0.593954606,0.702846671,0.640926086,0.638939638,0.759681627,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0,2,0.92809395,0.007345418,0.519695802,0.738516034,0.725454258,0.692940698,0.592399869,0.701866489,0.643657485,0.635657271,0.759479123,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0,3,0.928505528,0.010817316,0.509444249,0.738122761,0.744273926,0.693168375,0.591881624,0.70208782,0.645968669,0.634165286,0.759506123,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0,4,0.928891382,0.018219637,0.512861433,0.738487943,0.711062747,0.693851403,0.592918115,0.703763616,0.650801144,0.633568492,0.759371121,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.025,0,0.929920326,0.008234352,0.589748074,0.738192989,0.73763169,0.692333562,0.591622501,0.699210511,0.604157253,0.638641241,0.759276619,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.025,1,0.929808857,0.009553213,0.585381672,0.737926125,0.745380965,0.68986707,0.593954606,0.700917926,0.607518975,0.632971698,0.759371121,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.025,2,0.929483025,0.007378849,0.578737148,0.738487943,0.732096494,0.69043626,0.592399869,0.698925942,0.617814248,0.635060477,0.75935762,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.025,3,0.929611643,0.011023765,0.573231685,0.738445807,0.747595044,0.690170638,0.592140747,0.700380406,0.609199836,0.626108567,0.759141616,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.025,4,0.930743482,0.019972225,0.575509807,0.73871267,0.725454258,0.691422857,0.592918115,0.70132897,0.61592328,0.630584522,0.759182117,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.05,0,0.930726333,0.013047283,0.625248819,0.738501988,0.729882415,0.688918419,0.592399869,0.696997196,0.620965863,0.626406964,0.759114615,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.05,1,0.930366202,0.01002677,0.621262104,0.738516034,0.763093594,0.687172901,0.594731974,0.697281765,0.618654679,0.619543833,0.759087615,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.05,2,0.930289031,0.009663823,0.616516015,0.739302578,0.738738729,0.687969768,0.592399869,0.696522915,0.627269091,0.624914979,0.759101115,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.05,3,0.93032333,0.012828914,0.608352743,0.738810988,0.747595044,0.687400578,0.592658992,0.696175108,0.62916006,0.618051848,0.759101115,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.05,4,0.93142087,0.022153879,0.60607462,0.739162124,0.725454258,0.6900568,0.592918115,0.698578136,0.626218553,0.623422994,0.759101115,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.075,0,0.931669532,0.022418201,0.612529301,0.737574989,0.734310572,0.697683953,0.592658992,0.703068003,0.640926086,0.629092537,0.758966112,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.075,1,0.93096642,0.018117139,0.620312887,0.738192989,0.774163986,0.695445137,0.594213729,0.702309152,0.63966544,0.630882919,0.759114615,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.075,2,0.931558063,0.023024555,0.616895703,0.738010398,0.758665436,0.696355841,0.593695483,0.702656959,0.641556409,0.637149256,0.759168617,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.075,3,0.931583786,0.021708279,0.609871491,0.738417716,0.75313024,0.694724162,0.592140747,0.701139257,0.63441275,0.627302155,0.759020114,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.075,4,0.931720979,0.027198632,0.603226966,0.738361534,0.724347219,0.697076816,0.593177238,0.702720196,0.650380929,0.631479713,0.759047114,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.1,0,0.934336212,0.038008123,0.599050408,0.731324768,0.750916161,0.698442873,0.591622501,0.705312936,0.63966544,0.636850859,0.758979613,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.1,1,0.934164721,0.036294002,0.605884776,0.731760177,0.749809122,0.696773248,0.593954606,0.703984948,0.638404795,0.635358874,0.759195617,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.1,2,0.93408755,0.037426729,0.599430095,0.731324768,0.727668337,0.697949575,0.593695483,0.702815053,0.645548454,0.631181316,0.759141616,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.1,3,0.934404808,0.038874478,0.60018947,0.731746131,0.750916161,0.697608061,0.592658992,0.703447428,0.637354257,0.63476208,0.759060614,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.1,4,0.934499128,0.04158062,0.599999626,0.730861269,0.735417612,0.697797791,0.593177238,0.703289334,0.640505871,0.629092537,0.759033614,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.125,0,0.935330858,0.043072355,0.624869132,0.72515882,0.744273926,0.695141568,0.591622501,0.70183487,0.603526931,0.633866889,0.758939112,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.125,1,0.93539088,0.041458503,0.629805064,0.724245866,0.730989454,0.694306756,0.595768465,0.701107638,0.602896608,0.631479713,0.759276619,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.125,2,0.935082196,0.039030905,0.624869132,0.724582957,0.733203533,0.695976381,0.594213729,0.700253931,0.604787576,0.621632612,0.759114615,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.125,3,0.935227963,0.04074669,0.623730071,0.724175639,0.72213314,0.695445137,0.59343636,0.70132897,0.603947146,0.627302155,0.75883111,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,0.125,4,0.935862479,0.049311318,0.624299601,0.724470593,0.730989454,0.695369245,0.593954606,0.699969362,0.603106715,0.629987728,0.758912111,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2006,0,0,0.964908042,0.009235979,0.518658454,0.736828411,0.785396621,0.69003075,0.604885436,0.695845096,0.643261232,0.629114505,0.758241486,0.449710844,1,0.802480323,0.646076383,0.639461624,0
Berlin,2006,0,1,0.965113059,0.014172708,0.523537633,0.736800112,0.795404032,0.689844179,0.605326412,0.695592659,0.643059342,0.629114505,0.75828198,0.449710844,1,0.802480323,0.646076383,0.639461624,0
Berlin,2006,0,2,0.964873873,0.012390551,0.509112236,0.737182155,0.78762049,0.690105378,0.60664934,0.695403331,0.641848005,0.629114505,0.758187495,0.449710844,1,0.802480323,0.646076383,0.639461624,0
Berlin,2006,0,3,0.964831161,0.008182688,0.516749211,0.736814261,0.788732425,0.689582979,0.605326412,0.69552955,0.64406879,0.626123493,0.758241486,0.449710844,1,0.802480323,0.646076383,0.639461624,0
Berlin,2006,0,4,0.965036177,0.012539588,0.520779836,0.736502966,0.789844359,0.690142693,0.60334202,0.695845096,0.644270679,0.628842594,0.758214491,0.449710844,1,0.802480323,0.646076383,0.639461624,0
Berlin,2006,0.025,0,0.965608515,0.012394081,0.545387866,0.736800112,0.806523378,0.688575495,0.592538106,0.696002869,0.643463121,0.621501019,0.758200993,0.449710844,1,0.802480323,0.646076383,0.639461624,0
